# {"t_start": 1665108357.7770932, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-134.87092584559338,100,1090.041991,0.0,-134.87092584559338,0.0,0.0
-229.06793185469812,100,1119.899594,0.0,-229.06793185469812,0.0,0.0
-220.04404894330702,100,1120.995617,0.0,-218.04404894330702,0.0,-2.0
-219.77425546873343,100,1122.09726,0.0,-219.77425546873343,0.0,0.0
-95.5112402040543,100,1123.195876,0.0,-94.5112402040543,-1.0,0.0
-154.44476743456,100,1124.302675,0.0,-154.44476743456,0.0,0.0
-175.56005554316988,100,1125.402835,0.0,-175.56005554316988,0.0,0.0
-95.33448200292955,100,1126.512832,0.0,-95.33448200292955,0.0,0.0
-119.30201009173004,100,1127.605446,0.0,-119.30201009173004,0.0,0.0
-136.47606512815048,100,1128.705443,0.0,-134.47606512815048,0.0,-2.0
-165.99228387304993,100,1129.816637,0.0,-165.99228387304993,0.0,0.0
-96.73694632718045,100,1159.380978,0.0,-96.73694632718045,0.0,0.0
-171.6875768280513,100,1160.477798,0.0,-171.6875768280513,0.0,0.0
-141.89019394762505,100,1161.581083,0.0,-139.89019394762505,0.0,-2.0
-169.0531111127416,100,1162.673474,0.0,-167.0531111127416,-2.0,0.0
-151.81595980599943,100,1163.771216,0.0,-151.81595980599943,0.0,0.0
-188.43222948686417,100,1164.878629,0.0,-180.43222948686417,-4.0,-4.0
-152.31144309406994,100,1165.987735,0.0,-152.31144309406994,0.0,0.0
-184.60371186073135,100,1167.090837,0.0,-180.60371186073135,-2.0,-2.0
-174.58547077754613,100,1168.191614,0.0,-174.58547077754613,0.0,0.0
-133.10540925639617,100,1169.298355,0.0,-133.10540925639617,0.0,0.0
-161.78968205397922,100,1198.937287,0.0,-161.78968205397922,0.0,0.0
-123.71030270247823,100,1200.043509,0.0,-123.71030270247823,0.0,0.0
-135.33665899014807,100,1201.144539,0.0,-135.33665899014807,0.0,0.0
-85.01238024547678,100,1202.229907,0.0,-85.01238024547678,0.0,0.0
-158.2746406549541,100,1203.339914,0.0,-158.2746406549541,0.0,0.0
-122.11305680523304,100,1204.431598,0.0,-122.11305680523304,0.0,0.0
-91.905281135424,100,1205.539145,0.0,-91.905281135424,0.0,0.0
-182.46078239939345,100,1206.634755,0.0,-182.46078239939345,0.0,0.0
-226.76760790596768,100,1207.747935,0.0,-226.76760790596768,0.0,0.0
-126.95953008837265,100,1208.846706,0.0,-126.95953008837265,0.0,0.0
-176.87562586914396,100,1239.347887,0.0,-176.87562586914396,0.0,0.0
-102.60208783369742,100,1240.446866,0.0,-102.60208783369742,0.0,0.0
-306.3330779497739,100,1241.544605,0.0,-302.3330779497739,-4.0,0.0
-124.24059536563438,100,1242.654943,0.0,-122.24059536563438,-2.0,0.0
-121.42945948487997,100,1243.763973,0.0,-121.42945948487997,0.0,0.0
-152.78152497390138,100,1244.864449,0.0,-152.78152497390138,0.0,0.0
-133.4126129835884,100,1245.971977,0.0,-131.4126129835884,0.0,-2.0
-188.5069673965435,100,1247.083195,0.0,-188.5069673965435,0.0,0.0
-179.71394933037104,100,1248.181756,0.0,-179.71394933037104,0.0,0.0
-156.4652822765558,100,1249.289524,0.0,-156.4652822765558,0.0,0.0
-132.41290036157073,100,1278.960278,0.0,-132.41290036157073,0.0,0.0
-134.59019332498005,100,1280.063834,0.0,-134.59019332498005,0.0,0.0
-150.0583900587449,100,1281.148214,0.0,-149.0583900587449,0.0,-1.0
-106.79447025698556,100,1282.253818,0.0,-106.79447025698556,0.0,0.0
-183.78166185090265,100,1283.353237,0.0,-183.78166185090265,0.0,0.0
-171.8382331655861,100,1284.458313,0.0,-170.8382331655861,-1.0,0.0
-152.68476134372744,100,1285.559371,0.0,-152.68476134372744,0.0,0.0
-194.25309930934432,100,1286.658203,0.0,-190.25309930934432,-4.0,0.0
-144.38250400803656,100,1287.757629,0.0,-144.38250400803656,0.0,0.0
-172.09323355075472,100,1288.868782,0.0,-160.09323355075472,-6.0,-6.0
-90.15674943636138,100,1318.735097,0.0,-89.15674943636138,0.0,-1.0
-131.61494705005447,100,1319.845645,0.0,-129.61494705005447,0.0,-2.0
-193.5670297486219,100,1320.936765,0.0,-193.5670297486219,0.0,0.0
-111.82989900672425,100,1322.033199,0.0,-111.82989900672425,0.0,0.0
-168.23441464218303,100,1323.1405,0.0,-168.23441464218303,0.0,0.0
-227.10099193182947,100,1324.244126,0.0,-227.10099193182947,0.0,0.0
-188.16424235316504,100,1325.359273,0.0,-188.16424235316504,0.0,0.0
-161.6356225505058,100,1326.477449,0.0,-161.6356225505058,0.0,0.0
-133.57978283365586,100,1327.585726,0.0,-133.57978283365586,0.0,0.0
-212.17831150478503,100,1328.686808,0.0,-212.17831150478503,0.0,0.0
-129.94470920750564,100,1358.666168,0.0,-129.94470920750564,0.0,0.0
-123.35395680578799,100,1359.75953,0.0,-123.35395680578799,0.0,0.0
-138.57458775247417,100,1360.845961,0.0,-137.57458775247417,0.0,-1.0
-178.11989418275414,100,1361.945117,0.0,-178.11989418275414,0.0,0.0
-195.58944620284026,100,1363.056904,0.0,-195.58944620284026,0.0,0.0
-184.25272686319508,100,1364.159115,0.0,-184.25272686319508,0.0,0.0
-154.21730734670075,100,1365.257341,0.0,-154.21730734670075,0.0,0.0
-139.11698561569375,100,1366.353929,0.0,-133.11698561569375,0.0,-6.0
-183.70118289030492,100,1367.466349,0.0,-175.70118289030492,-2.0,-6.0
-274.08021844650926,100,1368.570566,0.0,-272.08021844650926,-2.0,0.0
-157.22627644736409,100,1398.302404,0.0,-153.22627644736409,-2.0,-2.0
-209.00723329893896,100,1399.400304,0.0,-209.00723329893896,0.0,0.0
-184.55277187276096,100,1400.509902,0.0,-184.55277187276096,0.0,0.0
-181.89661008891417,100,1401.624872,0.0,-181.89661008891417,0.0,0.0
-102.3206264901049,100,1402.720373,0.0,-102.3206264901049,0.0,0.0
-151.98863030587003,100,1403.821595,0.0,-151.98863030587003,0.0,0.0
-189.67687686652087,100,1404.924722,0.0,-189.67687686652087,0.0,0.0
-146.91592672107492,100,1406.029407,0.0,-146.91592672107492,0.0,0.0
-141.60746141499126,100,1407.14425,0.0,-141.60746141499126,0.0,0.0
-150.3765144586972,100,1408.243183,0.0,-146.3765144586972,0.0,-4.0
-218.49633244682647,100,1437.850019,0.0,-218.49633244682647,0.0,0.0
-233.90990051295333,100,1438.9772,0.0,-233.90990051295333,0.0,0.0
-207.81802058328046,100,1440.094404,0.0,-207.81802058328046,0.0,0.0
-153.684145601722,100,1441.207549,0.0,-149.684145601722,-2.0,-2.0
-160.4860901097853,100,1442.317246,0.0,-160.4860901097853,0.0,0.0
-157.75214560706354,100,1443.421758,0.0,-157.75214560706354,0.0,0.0
-150.69737776139854,100,1444.53116,0.0,-150.69737776139854,0.0,0.0
